S1,S2,S3,S4,S5
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
33,33,33,33,33
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
-1,-1,-1,-1,-1
-1.1,-1.1,-1.1,-1.1,-1.1
-1.2,-1.2,-1.2,-1.2,-1.2
-1.3,-1.3,-1.3,-1.3,-1.3
-1.4,-1.4,-1.4,-1.4,-1.4
-1.5,-1.5,-1.5,-1.5,-1.5
-1.6,-1.6,-1.6,-1.6,-1.6
-1.7,-1.7,-1.7,-1.7,-1.7
-1.8,-1.8,-1.8,-1.8,-1.8
-1.9,-1.9,-1.9,-1.9,-1.9
-2,-2,-2,-2,-2
-2.1,-2.1,-2.1,-2.1,-2.1
-2.2,-2.2,-2.2,-2.2,-2.2
-2.3,-2.3,-2.3,-2.3,-2.3
-2.4,-2.4,-2.4,-2.4,-2.4
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
40,20,0,-10,-20
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
