domain_index,background_rate_m_per_yr
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,-3.288397592592593
16,-3.011897592592593
17,-2.5162309259259263
18,-1.9612309259259264
19,-1.5632309259259265
20,-1.3720309259259265
21,-1.1558309259259265
22,-0.9552309259259264
23,-0.8227309259259266
24,-0.8719975925925931
25,-0.8914975925925932
26,-0.8008309259259264
27,-0.7348809259259265
28,-0.5550809259259265
29,-0.38068092592592645
30,-0.16948092592592645
31,0.1349190740740735
32,0.3506190740740735
33,0.6005524074074069
34,0.887202407407407
35,1.0222024074074068
36,1.1034024074074067
37,0.9546024074074067
38,0.6568024074074068
39,0.4526024074074068
40,0.3258024074074069
41,0.2976024074074069
42,0.47980240740740693
43,0.7602024074074067
44,1.1394024074074067
45,1.3809024074074068
46,1.4697024074074068
47,1.4649024074074073
48,1.3327024074074072
49,1.1318357407407407
50,0.6792357407407406
51,0.451969074074074
52,0.45466907407407403
53,0.457869074074074
54,0.470869074074074
55,0.342069074074074
56,0.19406907407407398
57,0.29193574074074063
58,0.25120240740740735
59,0.08220240740740742
60,-0.07499759259259259
61,-0.30433092592592587
62,-0.35753092592592584
63,-0.2548642592592592
64,-0.3385309259259259
65,-0.4907309259259259
66,-0.598330925925926
67,-0.6515309259259259
68,-0.3951975925925926
69,-0.0889975925925926
70,-0.03219759259259258
71,0.21600240740740745
72,0.5752024074074074
73,1.0656024074074073
74,1.6212024074074072
75,1.9766024074074076
76,2.2542024074074076
77,2.4508024074074073
78,2.3926024074074075
79,2.2712524074074074
80,2.107852407407407
81,1.8708524074074075
82,1.468202407407408
83,0.779202407407408
84,0.29420240740740805
85,0.06170240740740801
86,-0.17974759259259193
87,-0.31834759259259193
88,-0.47254759259259194
89,-0.7302975925925919
90,-0.785497592592592
91,-0.7876475925925919
92,-0.817897592592592
93,-0.933097592592592
94,-1.285597592592592
95,-1.503597592592592
96,-1.508997592592592
97,-1.3422642592592586
98,-1.2655142592592585
99,-1.1067642592592586
100,-0.9533642592592584
101,-0.7435309259259251
102,-0.6521975925925918
103,-0.5224642592592584
104,-0.4794642592592584
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
