domain_id,annual_rate_m_per_yr
1,-4.99
2,-2.834
3,-3.68
4,-2.972
5,-1.428
6,-0.033333333333333
7,0.56
8,-0.082
9,-0.922
10,-1.518
11,-0.966
12,-0.802
13,-0.526
14,0.15
15,-0.092
16,-0.24
17,0.142
18,0.778
19,1.212
20,2.518
21,2.522
22,2.396
23,2.604
24,1.63
25,1.59
26,-0.276
27,-0.378
28,0.332
29,1.128
30,2.322
31,3.452
32,4.394
33,3.516
34,1.822
35,1.368
36,1.08
37,0.6025
38,1.098
39,-0.132
40,0.912
41,1.982
42,1.4
43,0.754
44,-0.288
45,-0.04
46,0.78
47,0.836
48,0.292
49,-0.172
50,-0.93
51,-0.266
52,0.912
53,0.04
54,-0.686
55,-0.784
56,-0.704
57,0.618
58,2.242
59,1.558
60,2.492
61,2.906
62,4.12
63,4.852
64,5.034000000000001
65,5.017999999999999
66,3.524
67,1.034
68,1.522
69,2.486
70,2.482
71,0.81
72,-1.872
73,-1.326
74,-0.3625
75,-0.722
76,0.742
77,-0.078
78,-1.192
79,-2.424
80,-1.106
81,-0.658
82,-1.874
83,-2.106
84,-0.936
85,-1.624
86,-0.486
87,-0.284
88,0.63
89,-0.26
90,-0.264
