domain,model_total_change_m,model_rate_m_per_yr
0,12.246933212051317,0.6445754322132272
1,10.810983039099256,0.5689991073210134
2,11.235142397231357,0.5913232840648083
3,11.551383446537557,0.6079675498177661
4,11.266873729397048,0.592993354178792
5,11.968028338309978,0.6298962283321041
6,11.392215441685948,0.5995902864045236
7,12.017669051914254,0.6325088974691713
8,10.376831806443533,0.5461490424443965
9,9.810019586246653,0.5163168203287712
10,8.997398039400196,0.47354726523158924
11,5.3820801619876875,0.2832673769467204
12,-1.7132566375230454,-0.09017140197489712
13,-12.291465806591532,-0.6469192529785017
14,-30.54914874347196,-1.6078499338669452
15,-60.58381680066532,-3.188621936877122
16,-48.94621853973513,-2.576116765249217
17,-42.400136568084235,-2.231586135162328
18,-35.958254298877364,-1.8925396999409139
19,-24.306857125608076,-1.279308269768846
20,-5.140786456955084,-0.2705677082607939
21,-2.375359425347142,-0.12501891712353377
22,-5.493030856091536,-0.28910688716271243
23,-0.9565686754740454,-0.05034571976179186
24,2.2300121303524065,0.11736905949223192
25,7.5063378223071595,0.3950704117003768
26,2.266946070584254,0.11931295108338179
27,2.8452845498882198,0.14975181841516946
28,2.8318325492568874,0.14904381838194145
29,0.1225341223612304,0.0064491643348016
30,2.7574697618597384,0.145129987466302
31,8.828882258216709,0.4646780135903531
32,13.282368813880566,0.6990720428358193
33,18.36816394027346,0.9667454705407085
34,23.731406083745696,1.249021372828721
35,30.523426455346907,1.6064961292287847
36,35.35598016839185,1.860841061494308
37,36.94226168669911,1.944329562457848
38,39.5796036956649,2.0831370366139423
39,34.59841502033851,1.8209692115967635
40,18.985802542728607,0.9992527654067688
41,8.709642035857541,0.45840221241355483
42,12.625468235215294,0.664498328169226
43,20.32135507952671,1.0695450041856163
44,29.500570706667077,1.5526616161403723
45,38.03449398610928,2.0018154729531203
46,41.75250292481928,2.197500153937857
47,40.42120995813866,2.1274321030599297
48,34.37421308038779,1.8091691094940943
49,33.569304626618305,1.7668055066641213
50,32.557040891785164,1.7135284679886928
51,32.09570052027675,1.6892473958040395
52,28.911176323632617,1.5216408591385588
53,22.329907840643727,1.1752583074023015
54,20.40390781105407,1.0738898847923195
55,20.924680841196732,1.1012989916419333
56,15.656946068014577,0.8240497930533988
57,11.400012801163939,0.6000006737454705
58,9.224044957127944,0.48547605037515495
59,9.859109526708153,0.5189005014056922
60,8.068146966429367,0.4246393140225983
61,7.972473840956582,0.4196038863661359
62,2.762764055658863,0.14540863450836122
63,-1.4401565396133265,-0.07579771261122771
64,-4.040182370327329,-0.21264117738564892
65,-2.4604432229255053,-0.12949701173292133
66,0.07280692371909936,0.003831943353636808
67,-2.343566419281842,-0.1233456010148338
68,-1.63398106159093,-0.0859990032416279
69,-0.8235845852054808,-0.04334655711607794
70,2.340777165064992,0.12319879816131536
71,13.8549117508785,0.7292058816251842
72,23.947092454208587,1.2603732870636097
73,28.162152842674914,1.4822185706671007
74,37.63776329635425,1.9809349103344343
75,45.12478836240871,2.3749888611794057
76,55.291196765619134,2.910062987664165
77,60.6696898694463,3.193141572076121
78,61.24435032440397,3.2233868591791563
79,56.55322773681792,2.9764856703588376
80,46.735735236741675,2.4597755387758777
81,37.869381555995005,1.9931253450523687
82,34.675652605178584,1.825034347640978
83,33.32058174497456,1.7537148286828717
84,25.930714143120895,1.3647744285853103
85,14.563647274297637,0.766507751278823
86,1.7358924306008703,0.09136275950530896
87,-2.1599521993407507,-0.11368169470214477
88,0.07133653954633701,0.0037545547129651056
89,3.1158614825587847,0.1639927096083571
90,6.320244997671125,0.3326444735616382
91,4.916201071449223,0.25874742481311697
92,-0.8759529088115414,-0.04610278467429165
93,-5.506492492199413,-0.2898153943262849
94,-6.87521712760099,-0.3618535330316311
95,-11.439439458638844,-0.6020757609809918
96,-12.546848406772597,-0.6603604424617157
97,-11.040678608975213,-0.5810883478408007
98,-5.0552036193776075,-0.26606334838829515
99,-3.301137262139491,-0.17374406642839427
100,-0.8301029945882874,-0.04368963129412039
101,1.562902343859605,0.08225801809787395
102,2.1907592763484445,0.11530311980781287
103,3.2621381682358788,0.17169148253873046
104,10.040988053171077,0.5284730554300566
105,11.979040777191813,0.6304758303785164
106,12.716578231506901,0.6692935911319422
107,12.589124104439179,0.6625854791810094
108,11.364587550360056,0.5981361868610556
109,12.704682891474704,0.6686675206039318
110,10.706947026441867,0.5635235277074667
111,11.54222953471799,0.6074857649851574
112,11.125616598396618,0.5855587683366641
113,11.546963715438778,0.6077349323915147
114,12.08095980626058,0.6358399898031885
115,11.589489403149855,0.6099731264815713
116,11.487253461876662,0.6045922874671927
117,10.409181263848268,0.5478516454656983
118,11.462571265480165,0.6032932244989561
119,11.210390052427329,0.5900205290751226
